knp,kenapa,siang dok dok sya prtma haid bln ini tggl dn brhnti tgll nah tgl itu sya berhubungan hri ini kok sya mrsakn dr smlm kok perut bag bwah sblh kiri kedutan dn kdg pindah k kanan p skrg jg kedutan apalagi kl malam trasa skali tp ga skit bru kali ini sya kedutan apkah itu msa subur ato knp gtu trimakasih 
udh,udah,siang dok baby aku umur bln udh hmpir minggu batuk berdahaknya gk ilang awal btuk smpet dbwa k dokter n ilang batuknya skrng batuk lg berdahak apa perlu untuk di uap untuk ngluarin dahaknya selain hrs minum obat apkh ada cara lain untuk mredakan batuknya terimakasih dok dtunggu jwbnnya 
gmn,bagaimana,saya hamil dalam usia minggu dan di hari ini ada tetesan darah memang tdk banyak hanya setetes tetapi dalam sehari ada kali susinya apa apa masih dlm kondisi wajar atau gmn apa yg harus sy perbuat 
kluar,keluar,selamat pagi saya memiliki bayi berusia hmpir bln semenjak usia krg lbh bln bayi saya mulai agak susah minum susu semakin lama malah semakin sulit bayi saya minum susu formula sedari lahir krna asi saya tidak kluar sekarang dia hanya minum susu cc sktr kali sehari itupun harus agak dipaksa karena anak saya sepertinya tdk pernh merasa lapar anak saya jg sangat suka menghisap jempolnya sampai menangis klo dilarang bgmana ya supaya anal saya mau minum susu saya sfh coba bbrp merk susu tp blm bhasil skrg bayi saya mnum susu formula yg ha karrna sering muntah 
tnya,tanya,mau tnya bagaimana menghilangkan putih di lidah bayi trims
skrng,sekarang ,siang dok baby aku umur bln udh hmpir minggu batuk berdahaknya gk ilang awal btuk smpet dbwa k dokter n ilang batuknya skrng batuk lg berdahak apa perlu untuk di uap untuk ngluarin dahaknya selain hrs minum obat apkh ada cara lain untuk mredakan batuknya terimakasih dok dtunggu jwbnnya 
trims,terima kasih,sy seorg perempuan berumur th saya bekerja di salah satu perusahaan di jaksel setiap pagi saya harus berangkat kekantor naik motor dengan perjalanan jam dari ciputat yang sy mau tanyakan apakah pekerjaan sy jd pnybb sulit hamil lalu bagaimana solusi terbaiknya trims
krna,karena,bgaimana cra mendaftar krna infobunda dah sy gbung dng fb dah dimasukkan email pasword trus klik daftar tp ga bsa tq
promil,promil,bunda aku mau tau dong caranya promil
sufor,.,khalisa skr bln bb lahir gr bb skr hny kg tgg cm msh batas normalkah full asi ga mau sufor sama sekli sewaktu uumur bln pernah sakit batuk selama mggsejak itu bb nya susah banget naik tapi makan alhamdulillah doyan ditunggu jawabannya yaa makasi 
